stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,platform_code,level_id
000011248505,NA,Dierdorf Krankenhaus,NA,50.548535,7.661695,0,NA,0,NA,NA
000011248605,NA,Hachenburg Neuer Weg,NA,50.659849,7.811399,0,NA,0,NA,NA
000011257603,NA,Kadenbach Butterweg,NA,50.397543,7.745059,0,NA,0,NA,NA
000011257708,NA,Caan Feuerwehr,NA,50.471224,7.613959,0,NA,0,NA,NA
000011262406,NA,Daubach (Westerw) Heimathaus,NA,50.391243,7.846425,0,NA,0,NA,NA
000011262504,NA,Daubach (Westerw) Oberdorf,NA,50.391839,7.845787,0,NA,0,NA,NA
000011264410,NA,Deesen Bergstraße,NA,50.510281,7.700592,0,NA,0,NA,NA
000011264705,NA,Dernbach (Westerw) Ritzmühle,NA,50.457345,7.805776,0,NA,0,NA,NA
000011264907,NA,Dernbach (Westerw) Rathaus,NA,50.456259,7.791187,0,NA,0,NA,NA
000011267507,NA,Dierdorf Giershofen Ölsbachbrücke,NA,50.537917,7.659602,0,NA,0,NA,NA
000011267707,NA,Dierdorf Neuwieder Straße,NA,50.547907,7.652649,0,NA,0,NA,NA
000011267816,NA,Dierdorf Schulzentrum,NA,50.543866,7.662234,0,NA,0,NA,NA
000011268004,NA,Gackenbach Hübinger Straße,NA,50.353446,7.867328,0,NA,0,NA,NA
000011274606,NA,Ebernhahn In der Holl,NA,50.473442,7.766286,0,NA,0,NA,NA
000011274706,NA,Ebernhahn Zum Massenberg,NA,50.470789,7.770975,0,NA,0,NA,NA
000011274805,NA,Ebernhahn Landesstraße,NA,50.473945,7.766286,0,NA,0,NA,NA
000011274909,NA,Ebernhahn Schenkelberg,NA,50.467913,7.775584,0,NA,0,NA,NA
000011277904,NA,Montabaur Elgendorf Köppelstraße,NA,50.442536,7.795373,0,NA,0,NA,NA
000011278204,NA,Ellenhausen Im Rosenbusch,NA,50.516993,7.722861,0,NA,0,NA,NA
000011278307,NA,Ellenhausen Sayntalstraße,NA,50.515525,7.723877,0,NA,0,NA,NA
000011282006,NA,Montabaur Margeritenstraße,NA,50.446993,7.815406,0,NA,0,NA,NA
000011282704,NA,Montabaur Ettersdorf Brückenstraße,NA,50.3963,7.880588,0,NA,0,NA,NA
000011282806,NA,Ettringen (Eifel) Kirmeswiese,NA,50.357235,7.219814,0,NA,0,NA,NA
000011283006,NA,Ettringen (Eifel) Hochsteinsiedlung,NA,50.36061,7.219643,0,NA,0,NA,NA
000011283206,NA,Ettringen (Eifel) Mayener Straße,NA,50.353756,7.222545,0,NA,0,NA,NA
000011287806,NA,Freilingen Marktplatz,NA,50.55898,7.83401,0,NA,0,NA,NA
000011288103,NA,Leuterod Friedhofshalle,NA,50.492688,7.815388,0,NA,0,NA,NA
000011288205,NA,Leuterod Malbergstraße,NA,50.490596,7.822889,0,NA,0,NA,NA
000011288602,NA,Quirnbach Hammelberghalle,NA,50.51689,7.797035,0,NA,0,NA,NA
000011290005,NA,Gackenbach Oberdorf,NA,50.366633,7.855848,0,NA,0,NA,NA
000011290104,NA,Gackenbach Unterdorf,NA,50.370237,7.857968,0,NA,0,NA,NA
000011291601,NA,Quirnbach Alte Ölmühle,NA,50.520009,7.787846,0,NA,0,NA,NA
